Dataset,Size,Time(ns),Iterations,,,,,,,,,,,,,,,,,,,
dataset_10_1139.txt,1139,402800,21517,,,,,,,,,,,,,,,,,,,
dataset_11_3807.txt,3807,801100,87949,,,,,,,,,,,,,,,,,,,
dataset_12_3869.txt,3869,303800,92792,,,,,,,,,,,,,,,,,,,
dataset_13_6441.txt,6441,530400,163636,,,,,,,,,,,,,,,,,,,
dataset_14_8132.txt,8132,879600,209815,,,,,,,,,,,,,,,,,,,
dataset_15_6258.txt,6258,820800,173969,,,,,,,,,,,,,,,,,,,
dataset_16_6220.txt,6220,315300,170548,,,,,,,,,,,,,,,,,,,
dataset_17_2429.txt,2429,523100,51109,,,,,,,,,,,,,,,,,,,
dataset_18_5715.txt,5715,697700,151401,,,,,,,,,,,,,,,,,,,
dataset_19_9761.txt,9761,552100,264141,,,,,,,,,,,,,,,,,,,
dataset_1_2529.txt,2529,138700,54256,,,,,,,,,,,,,,,,,,,
dataset_20_9632.txt,9632,444500,253422,,,,,,,,,,,,,,,,,,,
dataset_21_1101.txt,1101,41400,20036,,,,,,,,,,,,,,,,,,,
dataset_22_9739.txt,9739,454100,242775,,,,,,,,,,,,,,,,,,,
dataset_23_3581.txt,3581,154300,84189,,,,,,,,,,,,,,,,,,,
dataset_24_8069.txt,8069,368600,218698,,,,,,,,,,,,,,,,,,,
dataset_25_5958.txt,5958,261300,145936,,,,,,,,,,,,,,,,,,,
dataset_26_8514.txt,8514,392900,207767,,,,,,,,,,,,,,,,,,,
dataset_27_3400.txt,3400,136100,73787,,,,,,,,,,,,,,,,,,,
dataset_28_7403.txt,7403,314400,180074,,,,,,,,,,,,,,,,,,,
dataset_29_8834.txt,8834,390600,219142,,,,,,,,,,,,,,,,,,,
dataset_2_232.txt,232,8000,3137,,,,,,,,,,,,,,,,,,,
dataset_30_8941.txt,8941,428300,229145,,,,,,,,,,,,,,,,,,,
dataset_31_7371.txt,7371,329200,173127,,,,,,,,,,,,,,,,,,,
dataset_32_7168.txt,7168,476700,173558,,,,,,,,,,,,,,,,,,,
dataset_33_8389.txt,8389,398900,205719,,,,,,,,,,,,,,,,,,,
dataset_34_4502.txt,4502,208000,98006,,,,,,,,,,,,,,,,,,,
dataset_35_8346.txt,8346,419900,197843,,,,,,,,,,,,,,,,,,,
dataset_36_3953.txt,3953,179000,87622,,,,,,,,,,,,,,,,,,,
dataset_37_6807.txt,6807,416200,158136,,,,,,,,,,,,,,,,,,,
dataset_38_3856.txt,3856,179300,90673,,,,,,,,,,,,,,,,,,,
dataset_39_3405.txt,3405,152300,81724,,,,,,,,,,,,,,,,,,,
dataset_3_9698.txt,9698,472200,253264,,,,,,,,,,,,,,,,,,,
dataset_40_7067.txt,7067,338000,172501,,,,,,,,,,,,,,,,,,,
dataset_41_7466.txt,7466,378000,184424,,,,,,,,,,,,,,,,,,,
dataset_42_7257.txt,7257,346800,172071,,,,,,,,,,,,,,,,,,,
dataset_43_4902.txt,4902,218100,114554,,,,,,,,,,,,,,,,,,,
dataset_44_1796.txt,1796,73600,35291,,,,,,,,,,,,,,,,,,,
dataset_45_733.txt,733,35200,12465,,,,,,,,,,,,,,,,,,,
dataset_46_6380.txt,6380,295500,154220,,,,,,,,,,,,,,,,,,,
dataset_47_6486.txt,6486,324000,151852,,,,,,,,,,,,,,,,,,,
dataset_48_9506.txt,9506,456900,239332,,,,,,,,,,,,,,,,,,,
dataset_49_946.txt,946,36900,16736,,,,,,,,,,,,,,,,,,,
dataset_4_4636.txt,4636,198300,108021,,,,,,,,,,,,,,,,,,,
dataset_50_1839.txt,1839,72500,36506,,,,,,,,,,,,,,,,,,,
dataset_5_3670.txt,3670,160100,81618,,,,,,,,,,,,,,,,,,,
dataset_6_5189.txt,5189,227700,121307,,,,,,,,,,,,,,,,,,,
dataset_7_7711.txt,7711,370200,185081,,,,,,,,,,,,,,,,,,,
dataset_8_6177.txt,6177,278000,141709,,,,,,,,,,,,,,,,,,,
dataset_9_2884.txt,2884,116500,59485,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
